pack_path	incomplete_reason
proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	INTERRUPTED
proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	INTERRUPTED
proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	MISSING_SUMMARY_ONLY
proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	MISSING_SUMMARY_ONLY
proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	MISSING_SUMMARY_ONLY
proof_packs/TREE_CLOSURE_2026-03-07_1321_0af062e88/	INTERRUPTED
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	INTERRUPTED
